iteracion,T,magnetizacion,n
1855000,4.900000,0.026367,64
1860000,4.900000,0.007812,64
1865000,4.900000,0.009766,64
1870000,4.900000,-0.020020,64
1875000,4.900000,-0.008301,64
1880000,4.900000,-0.000488,64
1885000,4.900000,-0.005371,64
1890000,4.900000,-0.004883,64
1895000,4.900000,0.009766,64
1900000,4.900000,0.007812,64
1905000,4.900000,0.012207,64
1910000,4.900000,-0.027344,64
1915000,4.900000,0.019531,64
1920000,4.900000,-0.012695,64
1925000,4.900000,-0.015625,64
1930000,4.900000,0.019531,64
1935000,4.900000,-0.005371,64
1940000,4.900000,0.004883,64
1945000,4.900000,-0.007324,64
1950000,4.900000,0.014648,64
1955000,4.900000,0.002930,64
1960000,4.900000,0.009277,64
1965000,4.900000,-0.030762,64
1970000,4.900000,-0.022461,64
1975000,4.900000,0.008789,64
1980000,4.900000,-0.015137,64
1985000,4.900000,-0.030762,64
1990000,4.900000,0.007812,64
1995000,4.900000,-0.003418,64
0,4.800000,-0.000488,64
5000,4.800000,0.006836,64
10000,4.800000,0.020508,64
15000,4.800000,-0.005859,64
20000,4.800000,0.013672,64
25000,4.800000,-0.017578,64
30000,4.800000,-0.005859,64
35000,4.800000,-0.015137,64
40000,4.800000,0.002930,64
45000,4.800000,-0.023926,64
50000,4.800000,-0.013672,64
55000,4.800000,0.001465,64
60000,4.800000,0.012695,64
65000,4.800000,-0.004395,64
70000,4.800000,0.016602,64
75000,4.800000,0.009766,64
80000,4.800000,-0.006836,64
85000,4.800000,-0.008301,64
90000,4.800000,-0.010254,64
95000,4.800000,-0.028809,64
100000,4.800000,0.005859,64
105000,4.800000,-0.007324,64
110000,4.800000,0.015137,64
115000,4.800000,0.000000,64
120000,4.800000,0.021484,64
125000,4.800000,-0.005371,64
130000,4.800000,-0.041016,64
135000,4.800000,0.001953,64
140000,4.800000,-0.003906,64
145000,4.800000,0.000488,64
150000,4.800000,-0.000488,64
155000,4.800000,0.001953,64
160000,4.800000,-0.003906,64
165000,4.800000,0.006836,64
170000,4.800000,-0.010254,64
175000,4.800000,-0.003906,64
180000,4.800000,-0.004395,64
185000,4.800000,0.010254,64
190000,4.800000,0.004395,64
195000,4.800000,0.025391,64
200000,4.800000,0.004395,64
205000,4.800000,0.022949,64
210000,4.800000,-0.012695,64
215000,4.800000,0.017578,64
220000,4.800000,0.001953,64
225000,4.800000,-0.019043,64
230000,4.800000,-0.015137,64
235000,4.800000,-0.014648,64
240000,4.800000,0.009277,64
245000,4.800000,0.007812,64
250000,4.800000,-0.020508,64
255000,4.800000,0.010742,64
260000,4.800000,-0.010254,64
265000,4.800000,-0.004395,64
270000,4.800000,0.015137,64
275000,4.800000,0.007324,64
280000,4.800000,-0.006836,64
285000,4.800000,-0.012695,64
290000,4.800000,0.022949,64
295000,4.800000,0.011230,64
300000,4.800000,-0.020996,64
305000,4.800000,-0.011719,64
310000,4.800000,0.017090,64
315000,4.800000,-0.027344,64
320000,4.800000,-0.031250,64
325000,4.800000,-0.006836,64
330000,4.800000,-0.006836,64
335000,4.800000,-0.036621,64
340000,4.800000,-0.021484,64
345000,4.800000,-0.006836,64
350000,4.800000,-0.030273,64
355000,4.800000,-0.020508,64
360000,4.800000,0.003906,64
365000,4.800000,-0.000977,64
