iteracion,T,energia
20000,4.969999,109116.000000
30000,4.969999,108924.000000
40000,4.969999,108948.000000
50000,4.969999,108892.000000
60000,4.969999,109000.000000
70000,4.969999,108772.000000
80000,4.969999,108900.000000
90000,4.969999,109068.000000
100000,4.969999,109004.000000
110000,4.969999,109028.000000
120000,4.969999,108984.000000
130000,4.969999,108988.000000
140000,4.969999,108980.000000
150000,4.969999,108904.000000
160000,4.969999,108840.000000
170000,4.969999,109044.000000
180000,4.969999,108916.000000
190000,4.969999,108896.000000
200000,4.969999,108876.000000
210000,4.969999,108720.000000
220000,4.969999,108704.000000
230000,4.969999,108880.000000
240000,4.969999,108592.000000
250000,4.969999,108712.000000
260000,4.969999,108716.000000
270000,4.969999,108508.000000
280000,4.969999,108584.000000
290000,4.969999,108752.000000
300000,4.969999,108712.000000
310000,4.969999,108564.000000
320000,4.969999,108428.000000
330000,4.969999,108376.000000
340000,4.969999,108240.000000
350000,4.969999,108464.000000
360000,4.969999,108272.000000
370000,4.969999,108332.000000
380000,4.969999,108352.000000
390000,4.969999,108188.000000
400000,4.969999,108336.000000
410000,4.969999,108412.000000
420000,4.969999,108284.000000
430000,4.969999,108004.000000
440000,4.969999,108176.000000
450000,4.969999,107936.000000
460000,4.969999,108228.000000
470000,4.969999,108096.000000
480000,4.969999,108068.000000
490000,4.969999,108104.000000
500000,4.969999,108076.000000
510000,4.969999,107928.000000
520000,4.969999,107888.000000
530000,4.969999,108044.000000
540000,4.969999,108016.000000
550000,4.969999,107848.000000
560000,4.969999,107744.000000
570000,4.969999,107840.000000
580000,4.969999,107796.000000
590000,4.969999,108052.000000
600000,4.969999,107876.000000
610000,4.969999,107996.000000
620000,4.969999,107804.000000
630000,4.969999,107716.000000
640000,4.969999,107732.000000
650000,4.969999,107656.000000
660000,4.969999,107524.000000
670000,4.969999,107560.000000
680000,4.969999,107812.000000
690000,4.969999,107840.000000
700000,4.969999,107456.000000
710000,4.969999,107540.000000
720000,4.969999,107508.000000
730000,4.969999,107492.000000
740000,4.969999,107412.000000
750000,4.969999,107656.000000
760000,4.969999,107472.000000
770000,4.969999,107384.000000
780000,4.969999,107540.000000
790000,4.969999,107388.000000
800000,4.969999,107240.000000
810000,4.969999,107272.000000
820000,4.969999,107232.000000
830000,4.969999,107360.000000
840000,4.969999,107304.000000
850000,4.969999,107460.000000
860000,4.969999,107028.000000
870000,4.969999,107268.000000
880000,4.969999,107260.000000
890000,4.969999,107144.000000
900000,4.969999,107036.000000
910000,4.969999,107116.000000
920000,4.969999,107164.000000
930000,4.969999,106952.000000
940000,4.969999,107076.000000
950000,4.969999,106944.000000
960000,4.969999,106912.000000
970000,4.969999,107104.000000
980000,4.969999,106944.000000
990000,4.969999,106908.000000
0,4.959999,107052.000000
10000,4.959999,106788.000000
20000,4.959999,106968.000000
30000,4.959999,107024.000000
40000,4.959999,106916.000000
50000,4.959999,106568.000000
60000,4.959999,106896.000000
70000,4.959999,106704.000000
80000,4.959999,106608.000000
90000,4.959999,106712.000000
100000,4.959999,106712.000000
110000,4.959999,106688.000000
120000,4.959999,106500.000000
130000,4.959999,106544.000000
140000,4.959999,106396.000000
150000,4.959999,106444.000000
160000,4.959999,106376.000000
170000,4.959999,106356.000000
180000,4.959999,106356.000000
190000,4.959999,106532.000000
200000,4.959999,106480.000000
210000,4.959999,106308.000000
220000,4.959999,106564.000000
230000,4.959999,106436.000000
240000,4.959999,106336.000000
250000,4.959999,106272.000000
260000,4.959999,106428.000000
270000,4.959999,106236.000000
280000,4.959999,106276.000000
290000,4.959999,106124.000000
300000,4.959999,106368.000000
310000,4.959999,106296.000000
320000,4.959999,106416.000000
330000,4.959999,106136.000000
340000,4.959999,106104.000000
350000,4.959999,106192.000000
360000,4.959999,106152.000000
370000,4.959999,106136.000000
380000,4.959999,106060.000000
390000,4.959999,106048.000000
400000,4.959999,106092.000000
410000,4.959999,106060.000000
420000,4.959999,105932.000000
430000,4.959999,105880.000000
440000,4.959999,105972.000000
450000,4.959999,106132.000000
460000,4.959999,106068.000000
470000,4.959999,105936.000000
480000,4.959999,105944.000000
490000,4.959999,106124.000000
500000,4.959999,105944.000000
510000,4.959999,105992.000000
520000,4.959999,105932.000000
530000,4.959999,105848.000000
540000,4.959999,106084.000000
550000,4.959999,105964.000000
560000,4.959999,105920.000000
570000,4.959999,105724.000000
580000,4.959999,105680.000000
590000,4.959999,105768.000000
600000,4.959999,105872.000000
610000,4.959999,105924.000000
620000,4.959999,105768.000000
630000,4.959999,105900.000000
640000,4.959999,105772.000000
650000,4.959999,105908.000000
660000,4.959999,105740.000000
670000,4.959999,105720.000000
680000,4.959999,105520.000000
690000,4.959999,105780.000000
700000,4.959999,105764.000000
710000,4.959999,105660.000000
720000,4.959999,105488.000000
730000,4.959999,105708.000000
740000,4.959999,105672.000000
750000,4.959999,105540.000000
760000,4.959999,105508.000000
770000,4.959999,105624.000000
780000,4.959999,105448.000000
790000,4.959999,105652.000000
800000,4.959999,105464.000000
810000,4.959999,105540.000000
820000,4.959999,105472.000000
830000,4.959999,105440.000000
840000,4.959999,105440.000000
850000,4.959999,105616.000000
860000,4.959999,105280.000000
870000,4.959999,105476.000000
880000,4.959999,105412.000000
890000,4.959999,105408.000000
900000,4.959999,105424.000000
910000,4.959999,105224.000000
920000,4.959999,105304.000000
930000,4.959999,105204.000000
940000,4.959999,105408.000000
950000,4.959999,105192.000000
960000,4.959999,105108.000000
970000,4.959999,105212.000000
980000,4.959999,105128.000000
990000,4.959999,105140.000000
0,4.949999,105172.000000
10000,4.949999,104940.000000
20000,4.949999,105008.000000
30000,4.949999,104936.000000
40000,4.949999,105088.000000
50000,4.949999,105032.000000
60000,4.949999,104984.000000
70000,4.949999,105004.000000
80000,4.949999,105120.000000
90000,4.949999,104980.000000
100000,4.949999,104948.000000
110000,4.949999,105008.000000
120000,4.949999,104800.000000
130000,4.949999,105036.000000
140000,4.949999,104988.000000
150000,4.949999,105188.000000
160000,4.949999,105080.000000
170000,4.949999,105076.000000
180000,4.949999,105040.000000
190000,4.949999,104912.000000
200000,4.949999,105080.000000
210000,4.949999,104812.000000
220000,4.949999,104804.000000
230000,4.949999,104856.000000
240000,4.949999,104968.000000
250000,4.949999,104772.000000
260000,4.949999,104820.000000
270000,4.949999,104672.000000
280000,4.949999,104580.000000
290000,4.949999,104808.000000
300000,4.949999,104860.000000
310000,4.949999,104632.000000
320000,4.949999,104568.000000
330000,4.949999,104856.000000
340000,4.949999,104636.000000
350000,4.949999,104628.000000
360000,4.949999,104648.000000
370000,4.949999,104676.000000
380000,4.949999,104460.000000
390000,4.949999,104716.000000
400000,4.949999,104524.000000
410000,4.949999,104532.000000
420000,4.949999,104496.000000
430000,4.949999,104456.000000
440000,4.949999,104400.000000
450000,4.949999,104432.000000
460000,4.949999,104320.000000
470000,4.949999,104364.000000
480000,4.949999,104300.000000
490000,4.949999,104380.000000
500000,4.949999,104284.000000
510000,4.949999,104120.000000
520000,4.949999,104256.000000
530000,4.949999,104152.000000
540000,4.949999,104108.000000
550000,4.949999,104124.000000
560000,4.949999,104232.000000
570000,4.949999,104096.000000
580000,4.949999,104032.000000
590000,4.949999,104036.000000
600000,4.949999,103984.000000
610000,4.949999,104076.000000
620000,4.949999,104080.000000
630000,4.949999,104040.000000
640000,4.949999,103904.000000
650000,4.949999,103908.000000
660000,4.949999,103764.000000
670000,4.949999,103912.000000
680000,4.949999,103984.000000
690000,4.949999,103984.000000
700000,4.949999,103772.000000
710000,4.949999,103712.000000
720000,4.949999,103700.000000
730000,4.949999,103668.000000
740000,4.949999,103668.000000
750000,4.949999,103756.000000
760000,4.949999,103572.000000
770000,4.949999,103820.000000
780000,4.949999,103704.000000
790000,4.949999,103740.000000
800000,4.949999,103628.000000
810000,4.949999,103732.000000
820000,4.949999,103724.000000
830000,4.949999,103464.000000
840000,4.949999,103572.000000
850000,4.949999,103648.000000
860000,4.949999,103708.000000
870000,4.949999,103604.000000
880000,4.949999,103528.000000
890000,4.949999,103380.000000
900000,4.949999,103480.000000
910000,4.949999,103356.000000
920000,4.949999,103580.000000
930000,4.949999,103496.000000
940000,4.949999,103392.000000
950000,4.949999,103280.000000
960000,4.949999,103412.000000
970000,4.949999,103572.000000
980000,4.949999,103320.000000
990000,4.949999,103336.000000
0,4.939999,103356.000000
10000,4.939999,103288.000000
20000,4.939999,103364.000000
30000,4.939999,103260.000000
40000,4.939999,103448.000000
50000,4.939999,103068.000000
60000,4.939999,103176.000000
70000,4.939999,103336.000000
80000,4.939999,103252.000000
90000,4.939999,103216.000000
100000,4.939999,103260.000000
110000,4.939999,103048.000000
120000,4.939999,103188.000000
130000,4.939999,103308.000000
140000,4.939999,103240.000000
150000,4.939999,103108.000000
160000,4.939999,102988.000000
170000,4.939999,103120.000000
180000,4.939999,103120.000000
190000,4.939999,103000.000000
200000,4.939999,102980.000000
210000,4.939999,103064.000000
220000,4.939999,103152.000000
230000,4.939999,102960.000000
240000,4.939999,102912.000000
250000,4.939999,102976.000000
260000,4.939999,102928.000000
270000,4.939999,103004.000000
280000,4.939999,102840.000000
290000,4.939999,102812.000000
300000,4.939999,102728.000000
310000,4.939999,103016.000000
320000,4.939999,102904.000000
330000,4.939999,102844.000000
340000,4.939999,102988.000000
350000,4.939999,102808.000000
360000,4.939999,102716.000000
370000,4.939999,102592.000000
380000,4.939999,102728.000000
390000,4.939999,102648.000000
400000,4.939999,102520.000000
410000,4.939999,102524.000000
420000,4.939999,102640.000000
430000,4.939999,102540.000000
440000,4.939999,102488.000000
450000,4.939999,102780.000000
460000,4.939999,102544.000000
470000,4.939999,102644.000000
480000,4.939999,102508.000000
490000,4.939999,102472.000000
500000,4.939999,102472.000000
510000,4.939999,102568.000000
520000,4.939999,102540.000000
530000,4.939999,102800.000000
540000,4.939999,102520.000000
550000,4.939999,102572.000000
560000,4.939999,102460.000000
570000,4.939999,102376.000000
580000,4.939999,102400.000000
590000,4.939999,102384.000000
600000,4.939999,102256.000000
610000,4.939999,102324.000000
620000,4.939999,102344.000000
630000,4.939999,102380.000000
640000,4.939999,102400.000000
650000,4.939999,102320.000000
660000,4.939999,102196.000000
670000,4.939999,102196.000000
680000,4.939999,102240.000000
690000,4.939999,102396.000000
700000,4.939999,102272.000000
710000,4.939999,102060.000000
720000,4.939999,102256.000000
730000,4.939999,102112.000000
740000,4.939999,102248.000000
750000,4.939999,102064.000000
760000,4.939999,102016.000000
770000,4.939999,102028.000000
780000,4.939999,102068.000000
790000,4.939999,102116.000000
800000,4.939999,102184.000000
810000,4.939999,102004.000000
820000,4.939999,101960.000000
830000,4.939999,102076.000000
840000,4.939999,102048.000000
850000,4.939999,102104.000000
860000,4.939999,101904.000000
870000,4.939999,102048.000000
880000,4.939999,102016.000000
890000,4.939999,101896.000000
900000,4.939999,101908.000000
910000,4.939999,101784.000000
920000,4.939999,101952.000000
930000,4.939999,101872.000000
940000,4.939999,101748.000000
950000,4.939999,101800.000000
960000,4.939999,101820.000000
970000,4.939999,101672.000000
980000,4.939999,101560.000000
990000,4.939999,101696.000000
0,4.929998,101688.000000
10000,4.929998,101584.000000
20000,4.929998,101420.000000
30000,4.929998,101492.000000
40000,4.929998,101768.000000
50000,4.929998,101712.000000
60000,4.929998,101512.000000
70000,4.929998,101544.000000
80000,4.929998,101488.000000
90000,4.929998,101640.000000
100000,4.929998,101320.000000
110000,4.929998,101356.000000
120000,4.929998,101308.000000
130000,4.929998,101368.000000
140000,4.929998,101476.000000
150000,4.929998,101464.000000
160000,4.929998,101300.000000
170000,4.929998,101392.000000
180000,4.929998,101292.000000
190000,4.929998,101276.000000
200000,4.929998,101144.000000
210000,4.929998,101088.000000
220000,4.929998,101176.000000
230000,4.929998,100924.000000
240000,4.929998,101128.000000
250000,4.929998,101120.000000
260000,4.929998,101352.000000
270000,4.929998,101096.000000
280000,4.929998,100916.000000
290000,4.929998,101152.000000
300000,4.929998,100972.000000
310000,4.929998,100904.000000
320000,4.929998,100868.000000
330000,4.929998,100916.000000
340000,4.929998,100792.000000
350000,4.929998,100796.000000
360000,4.929998,100996.000000
370000,4.929998,100780.000000
380000,4.929998,100864.000000
390000,4.929998,100788.000000
400000,4.929998,100916.000000
410000,4.929998,100604.000000
420000,4.929998,100664.000000
430000,4.929998,100520.000000
440000,4.929998,100516.000000
450000,4.929998,100556.000000
460000,4.929998,100864.000000
470000,4.929998,100468.000000
480000,4.929998,100340.000000
490000,4.929998,100556.000000
500000,4.929998,100472.000000
510000,4.929998,100324.000000
520000,4.929998,100444.000000
530000,4.929998,100476.000000
540000,4.929998,100292.000000
550000,4.929998,100216.000000
560000,4.929998,100384.000000
570000,4.929998,100172.000000
580000,4.929998,100300.000000
590000,4.929998,100040.000000
600000,4.929998,100184.000000
610000,4.929998,100116.000000
620000,4.929998,100196.000000
630000,4.929998,100020.000000
640000,4.929998,100244.000000
650000,4.929998,100228.000000
660000,4.929998,100108.000000
670000,4.929998,100312.000000
680000,4.929998,100128.000000
690000,4.929998,100028.000000
700000,4.929998,99912.000000
710000,4.929998,99972.000000
720000,4.929998,99920.000000
730000,4.929998,99964.000000
740000,4.929998,99828.000000
750000,4.929998,99784.000000
760000,4.929998,99764.000000
770000,4.929998,99840.000000
780000,4.929998,99580.000000
790000,4.929998,99724.000000
800000,4.929998,99920.000000
810000,4.929998,99684.000000
820000,4.929998,99532.000000
830000,4.929998,99816.000000
840000,4.929998,99700.000000
850000,4.929998,99724.000000
860000,4.929998,99756.000000
870000,4.929998,99524.000000
880000,4.929998,99604.000000
890000,4.929998,99688.000000
900000,4.929998,99616.000000
910000,4.929998,99636.000000
920000,4.929998,99508.000000
930000,4.929998,99516.000000
940000,4.929998,99412.000000
950000,4.929998,99408.000000
960000,4.929998,99528.000000
970000,4.929998,99392.000000
980000,4.929998,99372.000000
990000,4.929998,99444.000000
0,4.919998,99168.000000
10000,4.919998,99156.000000
20000,4.919998,99216.000000
30000,4.919998,99196.000000
40000,4.919998,99148.000000
50000,4.919998,99092.000000
60000,4.919998,99080.000000
70000,4.919998,99160.000000
80000,4.919998,99204.000000
90000,4.919998,99192.000000
100000,4.919998,99176.000000
110000,4.919998,98960.000000
120000,4.919998,99088.000000
130000,4.919998,98988.000000
140000,4.919998,98968.000000
150000,4.919998,98932.000000
160000,4.919998,98912.000000
170000,4.919998,98952.000000
180000,4.919998,99140.000000
190000,4.919998,98908.000000
200000,4.919998,98928.000000
210000,4.919998,98880.000000
220000,4.919998,98776.000000
230000,4.919998,98760.000000
240000,4.919998,98792.000000
250000,4.919998,98624.000000
260000,4.919998,98648.000000
270000,4.919998,98828.000000
280000,4.919998,98648.000000
290000,4.919998,98620.000000
300000,4.919998,98672.000000
310000,4.919998,98452.000000
320000,4.919998,98304.000000
330000,4.919998,98660.000000
340000,4.919998,98636.000000
350000,4.919998,98476.000000
360000,4.919998,98372.000000
370000,4.919998,98404.000000
380000,4.919998,98500.000000
390000,4.919998,98416.000000
400000,4.919998,98636.000000
410000,4.919998,98208.000000
420000,4.919998,98372.000000
430000,4.919998,98312.000000
440000,4.919998,98244.000000
450000,4.919998,98340.000000
460000,4.919998,98152.000000
470000,4.919998,98168.000000
480000,4.919998,98348.000000
490000,4.919998,98176.000000
500000,4.919998,98084.000000
510000,4.919998,98148.000000
520000,4.919998,98148.000000
530000,4.919998,97888.000000
540000,4.919998,98176.000000
550000,4.919998,98188.000000
560000,4.919998,97912.000000
570000,4.919998,97912.000000
580000,4.919998,97884.000000
590000,4.919998,97816.000000
600000,4.919998,97876.000000
610000,4.919998,97988.000000
620000,4.919998,97872.000000
630000,4.919998,98008.000000
640000,4.919998,97892.000000
650000,4.919998,97756.000000
660000,4.919998,97776.000000
670000,4.919998,97764.000000
680000,4.919998,97756.000000
690000,4.919998,97796.000000
700000,4.919998,97812.000000
710000,4.919998,97852.000000
720000,4.919998,97788.000000
730000,4.919998,97560.000000
740000,4.919998,97532.000000
750000,4.919998,97264.000000
760000,4.919998,97556.000000
770000,4.919998,97616.000000
780000,4.919998,97624.000000
790000,4.919998,97468.000000
