iteracion,T,magnetizacion
60000,4.949999,0.041504
70000,4.949999,0.053223
80000,4.949999,0.011230
90000,4.949999,0.001465
100000,4.949999,-0.002441
110000,4.949999,0.022949
120000,4.949999,0.009277
130000,4.949999,-0.000488
140000,4.949999,0.062988
150000,4.949999,0.028320
160000,4.949999,-0.015137
170000,4.949999,0.012695
180000,4.949999,-0.031250
190000,4.949999,0.012695
200000,4.949999,-0.026367
210000,4.949999,0.008301
220000,4.949999,-0.006348
230000,4.949999,-0.020020
240000,4.949999,0.034180
250000,4.949999,0.069336
260000,4.949999,-0.010742
270000,4.949999,0.017090
280000,4.949999,0.021973
290000,4.949999,0.010254
300000,4.949999,0.023438
310000,4.949999,0.021484
320000,4.949999,0.013672
330000,4.949999,-0.028809
340000,4.949999,-0.016113
350000,4.949999,-0.038086
360000,4.949999,-0.012207
370000,4.949999,0.015137
380000,4.949999,-0.007812
390000,4.949999,0.014160
400000,4.949999,0.059082
410000,4.949999,-0.010254
420000,4.949999,0.006836
430000,4.949999,0.013672
440000,4.949999,0.042969
450000,4.949999,0.018066
460000,4.949999,0.026367
470000,4.949999,0.003906
480000,4.949999,0.035156
490000,4.949999,0.039062
500000,4.949999,0.003906
510000,4.949999,-0.006348
520000,4.949999,0.002930
530000,4.949999,-0.008301
540000,4.949999,-0.004883
550000,4.949999,0.027832
560000,4.949999,0.000000
570000,4.949999,-0.015625
580000,4.949999,-0.046387
590000,4.949999,-0.006836
600000,4.949999,-0.035645
610000,4.949999,-0.008789
620000,4.949999,0.003906
630000,4.949999,-0.011230
640000,4.949999,-0.064453
650000,4.949999,0.000977
660000,4.949999,0.006348
670000,4.949999,-0.023438
680000,4.949999,0.013672
690000,4.949999,0.017578
700000,4.949999,0.012695
710000,4.949999,0.060059
720000,4.949999,-0.020996
730000,4.949999,-0.050781
740000,4.949999,-0.016602
750000,4.949999,-0.023438
760000,4.949999,-0.020996
770000,4.949999,0.008301
780000,4.949999,0.050293
790000,4.949999,0.037598
800000,4.949999,0.029297
810000,4.949999,-0.001465
820000,4.949999,0.038574
830000,4.949999,0.027344
840000,4.949999,-0.011230
850000,4.949999,0.002930
860000,4.949999,0.007324
870000,4.949999,-0.003418
880000,4.949999,-0.027344
890000,4.949999,0.005371
900000,4.949999,0.006348
910000,4.949999,0.073242
920000,4.949999,-0.006836
930000,4.949999,-0.004883
940000,4.949999,0.025391
950000,4.949999,0.023926
960000,4.949999,0.001953
970000,4.949999,-0.006348
980000,4.949999,0.027344
990000,4.949999,0.008301
0,4.939999,0.009277
10000,4.939999,0.031250
20000,4.939999,0.038086
30000,4.939999,0.045410
40000,4.939999,0.020996
50000,4.939999,0.051758
60000,4.939999,0.019531
70000,4.939999,0.021484
80000,4.939999,-0.003418
90000,4.939999,-0.001953
100000,4.939999,0.012207
110000,4.939999,0.045410
120000,4.939999,0.024414
130000,4.939999,0.011230
140000,4.939999,0.011230
150000,4.939999,0.016602
160000,4.939999,0.039551
170000,4.939999,0.014648
180000,4.939999,-0.024414
190000,4.939999,-0.011230
200000,4.939999,0.018066
210000,4.939999,0.028809
220000,4.939999,0.003418
230000,4.939999,0.000488
240000,4.939999,-0.016113
250000,4.939999,-0.021973
260000,4.939999,-0.015137
270000,4.939999,-0.007812
280000,4.939999,-0.010742
290000,4.939999,0.034668
300000,4.939999,0.019531
310000,4.939999,-0.007324
320000,4.939999,-0.019531
330000,4.939999,0.018066
340000,4.939999,-0.045898
350000,4.939999,-0.026855
360000,4.939999,-0.014160
370000,4.939999,-0.005859
380000,4.939999,0.005371
390000,4.939999,-0.015137
400000,4.939999,0.025879
410000,4.939999,0.048340
420000,4.939999,0.012207
430000,4.939999,0.051270
440000,4.939999,0.044434
450000,4.939999,-0.013672
460000,4.939999,0.020996
470000,4.939999,-0.007812
480000,4.939999,-0.044434
490000,4.939999,-0.077637
500000,4.939999,-0.047852
510000,4.939999,-0.062988
520000,4.939999,-0.002930
530000,4.939999,0.009766
540000,4.939999,-0.014648
550000,4.939999,-0.019043
560000,4.939999,0.000000
570000,4.939999,0.039062
580000,4.939999,0.053711
590000,4.939999,-0.000977
600000,4.939999,0.038086
610000,4.939999,-0.005859
620000,4.939999,0.003906
630000,4.939999,0.008789
640000,4.939999,0.000000
650000,4.939999,-0.020508
660000,4.939999,-0.022461
670000,4.939999,0.006836
680000,4.939999,0.031250
690000,4.939999,0.008301
700000,4.939999,-0.034668
710000,4.939999,-0.013184
720000,4.939999,-0.010742
730000,4.939999,0.005859
740000,4.939999,-0.036621
750000,4.939999,0.021484
760000,4.939999,0.013184
770000,4.939999,0.010254
780000,4.939999,0.014648
790000,4.939999,0.006836
800000,4.939999,-0.032227
810000,4.939999,-0.036621
820000,4.939999,0.001465
830000,4.939999,-0.002441
840000,4.939999,0.028809
850000,4.939999,0.002441
860000,4.939999,0.003906
870000,4.939999,0.048828
880000,4.939999,0.045898
890000,4.939999,0.037109
900000,4.939999,-0.005371
910000,4.939999,-0.025879
920000,4.939999,0.009766
930000,4.939999,-0.048340
940000,4.939999,-0.022949
950000,4.939999,-0.018555
960000,4.939999,0.002930
970000,4.939999,-0.009766
980000,4.939999,-0.014648
990000,4.939999,0.014648
0,4.929998,0.012207
10000,4.929998,-0.015137
20000,4.929998,0.020996
30000,4.929998,-0.000977
40000,4.929998,-0.030762
50000,4.929998,0.061035
60000,4.929998,0.022949
70000,4.929998,0.000488
80000,4.929998,-0.013672
90000,4.929998,0.022461
100000,4.929998,0.020996
110000,4.929998,0.022949
120000,4.929998,0.009277
130000,4.929998,0.032227
140000,4.929998,0.024902
150000,4.929998,-0.033203
160000,4.929998,0.021484
170000,4.929998,0.032227
180000,4.929998,0.016602
190000,4.929998,0.045898
200000,4.929998,-0.002441
210000,4.929998,0.028320
220000,4.929998,0.020020
230000,4.929998,0.020996
240000,4.929998,0.033691
250000,4.929998,-0.006348
260000,4.929998,-0.011230
270000,4.929998,0.027344
280000,4.929998,0.024414
290000,4.929998,0.032715
300000,4.929998,0.004883
310000,4.929998,0.018066
320000,4.929998,-0.016602
330000,4.929998,-0.003418
340000,4.929998,-0.013184
350000,4.929998,0.015625
360000,4.929998,0.027344
370000,4.929998,0.007324
380000,4.929998,-0.000977
390000,4.929998,-0.017578
400000,4.929998,-0.049316
410000,4.929998,0.008301
420000,4.929998,0.041992
430000,4.929998,0.040527
440000,4.929998,0.040039
450000,4.929998,0.037109
460000,4.929998,0.029785
470000,4.929998,0.048828
480000,4.929998,0.046875
490000,4.929998,0.058105
500000,4.929998,0.025879
510000,4.929998,0.038086
520000,4.929998,0.007324
530000,4.929998,0.012695
540000,4.929998,-0.022949
550000,4.929998,-0.020020
560000,4.929998,0.031738
570000,4.929998,-0.021973
580000,4.929998,-0.010254
590000,4.929998,0.013672
600000,4.929998,0.009766
610000,4.929998,0.012207
620000,4.929998,-0.009277
630000,4.929998,0.010742
640000,4.929998,0.020508
650000,4.929998,0.031738
660000,4.929998,-0.007812
670000,4.929998,-0.006836
680000,4.929998,-0.012207
690000,4.929998,-0.019531
700000,4.929998,0.011719
710000,4.929998,0.020020
720000,4.929998,-0.010254
730000,4.929998,-0.020508
740000,4.929998,-0.002441
750000,4.929998,0.068359
760000,4.929998,0.046875
770000,4.929998,0.040039
780000,4.929998,0.013672
790000,4.929998,-0.015625
800000,4.929998,-0.012207
810000,4.929998,0.009277
820000,4.929998,0.027344
830000,4.929998,0.012207
840000,4.929998,-0.014648
850000,4.929998,-0.004395
860000,4.929998,-0.006348
870000,4.929998,0.000977
880000,4.929998,0.004883
890000,4.929998,-0.034668
900000,4.929998,-0.003906
910000,4.929998,0.024414
920000,4.929998,0.004883
930000,4.929998,0.018555
940000,4.929998,0.014648
950000,4.929998,0.027344
960000,4.929998,-0.004395
970000,4.929998,-0.013184
980000,4.929998,0.001953
990000,4.929998,-0.010742
0,4.919998,0.011719
10000,4.919998,-0.001953
20000,4.919998,0.017090
30000,4.919998,0.058105
40000,4.919998,0.020508
50000,4.919998,0.064453
60000,4.919998,0.002441
70000,4.919998,0.032227
80000,4.919998,0.006348
90000,4.919998,-0.012207
100000,4.919998,-0.023438
110000,4.919998,0.000977
120000,4.919998,-0.020508
130000,4.919998,0.000488
140000,4.919998,-0.011230
150000,4.919998,-0.014648
160000,4.919998,0.028809
170000,4.919998,0.046387
180000,4.919998,0.012207
190000,4.919998,0.006348
200000,4.919998,0.028320
210000,4.919998,0.014160
220000,4.919998,0.021973
230000,4.919998,0.010254
240000,4.919998,-0.006836
250000,4.919998,-0.005859
260000,4.919998,0.009766
270000,4.919998,0.008789
280000,4.919998,0.028809
290000,4.919998,0.031738
300000,4.919998,0.039551
310000,4.919998,0.028809
320000,4.919998,0.001465
330000,4.919998,0.037598
340000,4.919998,0.012207
350000,4.919998,0.000488
360000,4.919998,-0.004395
370000,4.919998,-0.004883
380000,4.919998,0.019043
390000,4.919998,0.007324
400000,4.919998,0.009277
410000,4.919998,-0.018066
420000,4.919998,-0.021484
430000,4.919998,-0.084473
440000,4.919998,-0.022461
450000,4.919998,-0.001953
460000,4.919998,0.043945
470000,4.919998,0.034668
480000,4.919998,0.008789
490000,4.919998,-0.010254
500000,4.919998,0.026367
510000,4.919998,0.006836
520000,4.919998,0.001465
530000,4.919998,-0.049316
540000,4.919998,-0.002441
550000,4.919998,-0.001465
560000,4.919998,-0.023926
570000,4.919998,-0.030762
580000,4.919998,0.044434
590000,4.919998,0.017578
600000,4.919998,0.008789
610000,4.919998,-0.002930
620000,4.919998,-0.016602
630000,4.919998,-0.043945
640000,4.919998,-0.007812
650000,4.919998,-0.020020
660000,4.919998,0.011230
670000,4.919998,0.022949
680000,4.919998,0.035156
690000,4.919998,0.029785
700000,4.919998,-0.030762
710000,4.919998,-0.032227
720000,4.919998,-0.015137
730000,4.919998,0.006348
740000,4.919998,0.014648
750000,4.919998,0.010742
760000,4.919998,0.027344
770000,4.919998,0.016113
780000,4.919998,0.018066
790000,4.919998,0.013672
800000,4.919998,0.007324
810000,4.919998,-0.006836
820000,4.919998,0.039551
830000,4.919998,0.015137
840000,4.919998,-0.002930
850000,4.919998,0.042969
860000,4.919998,0.027832
870000,4.919998,-0.026367
880000,4.919998,-0.010742
890000,4.919998,0.022949
900000,4.919998,0.042480
910000,4.919998,0.028320
920000,4.919998,0.009766
930000,4.919998,0.011719
940000,4.919998,-0.006348
950000,4.919998,-0.027832
960000,4.919998,0.010254
970000,4.919998,-0.020508
980000,4.919998,0.023926
990000,4.919998,-0.018555
0,4.909998,0.002441
10000,4.909998,-0.016113
20000,4.909998,0.021484
30000,4.909998,0.003418
40000,4.909998,0.013184
50000,4.909998,-0.031738
60000,4.909998,0.011719
70000,4.909998,0.070801
80000,4.909998,0.025879
90000,4.909998,0.013672
100000,4.909998,0.037109
110000,4.909998,0.008301
120000,4.909998,0.003418
130000,4.909998,0.055176
140000,4.909998,0.047852
150000,4.909998,-0.022949
160000,4.909998,0.040527
